조회권역코드,조회권역명,수집일시_UTC,dcls_month,fin_co_no,kor_co_nm,fin_prdt_cd,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001292,"오면우대! 하면우대!
정기적금","영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","신규고객
①적금가입시3.0%
②상품가입 전 마케팅동의시0.1%
③이 적금 신규월 포함 3개월 동안 10만원 이상 경남은행 카드 대금결제시2.0%
기존고객
①급여 또는 연금입금시1.5%
②공과금 자동이체시 2.0%
③경남은행 카드이용시(8회이상&10만원이상 카드대금 결제보유)1.5%
④상품가입 전 마케팅동의시0.1%",1,실명의 개인,"1.계악기간은 1년제로 한다.
2. 적립금액은 매월 10만원이상, 50만원 이하(1만원 이상)",500000,20260820,99991231,202608201143,S,단리,S,정액적립식,12,1.9,7
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001236,주거래 프리미엄 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①주거래우대 0.5%
②공과금 자동이체 0.4~0.6%
③신규고객 0.2%
④주택청약종합저축 보유 0.1%
⑤ 전자명함을 통한 신규 시 0.2%",1,실명의 개인 및 개인사업자,"1.계악기간은 1년제, 2년제, 3년제로 한다.
2. 적립금액은 매월 1만원이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,12,2.7,4.3
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001236,주거래 프리미엄 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①주거래우대 0.5%
②공과금 자동이체 0.4~0.6%
③신규고객 0.2%
④주택청약종합저축 보유 0.1%
⑤ 전자명함을 통한 신규 시 0.2%",1,실명의 개인 및 개인사업자,"1.계악기간은 1년제, 2년제, 3년제로 한다.
2. 적립금액은 매월 1만원이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,24,2.55,4.15
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21001236,주거래 프리미엄 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①주거래우대 0.5%
②공과금 자동이체 0.4~0.6%
③신규고객 0.2%
④주택청약종합저축 보유 0.1%
⑤ 전자명함을 통한 신규 시 0.2%",1,실명의 개인 및 개인사업자,"1.계악기간은 1년제, 2년제, 3년제로 한다.
2. 적립금액은 매월 1만원이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,36,2.55,4.15
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21000111,행복 DREAM 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①신규일로부터 6개월전까지 당행 적금 미보유 0.2%
②월부금이 50만원 이상인 경우 0.2%
③이 예금을 자동이체로 납입하는 경우 0.2%
④신규일로부터 익월 말일까지 신용(체크)카드를 최초로 발급하고 동 기간내에 10만원이상 이용실적이 있는경우 0.2%
⑤이 예금 가입전 경남은행 마케팅동의가 되어있는경우 0.2%",1,실명의 개인 및 개인사업자,"1. 계약기간은 1년 이상 3년 이하 월단위로 한다.
2. 적립금액은 5만원 이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,12,2.9,3.9
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21000111,행복 DREAM 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①신규일로부터 6개월전까지 당행 적금 미보유 0.2%
②월부금이 50만원 이상인 경우 0.2%
③이 예금을 자동이체로 납입하는 경우 0.2%
④신규일로부터 익월 말일까지 신용(체크)카드를 최초로 발급하고 동 기간내에 10만원이상 이용실적이 있는경우 0.2%
⑤이 예금 가입전 경남은행 마케팅동의가 되어있는경우 0.2%",1,실명의 개인 및 개인사업자,"1. 계약기간은 1년 이상 3년 이하 월단위로 한다.
2. 적립금액은 5만원 이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,24,2.8,3.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010024,경남은행,21000111,행복 DREAM 적금,"영업점,인터넷,스마트폰","만기후 1개월 이내: 일반정기예금 기본이율의 50%
만기후 1개월 초과: 일반정기예금 기본이율의 20%","①신규일로부터 6개월전까지 당행 적금 미보유 0.2%
②월부금이 50만원 이상인 경우 0.2%
③이 예금을 자동이체로 납입하는 경우 0.2%
④신규일로부터 익월 말일까지 신용(체크)카드를 최초로 발급하고 동 기간내에 10만원이상 이용실적이 있는경우 0.2%
⑤이 예금 가입전 경남은행 마케팅동의가 되어있는경우 0.2%",1,실명의 개인 및 개인사업자,"1. 계약기간은 1년 이상 3년 이하 월단위로 한다.
2. 적립금액은 5만원 이상, 최고금액은 제한없음",999999999,20260820,99991231,202608201143,S,단리,S,정액적립식,36,2.8,3.8
020000,은행,2026-08-31T05:51:56+00:00,202608,0010019,광주은행,TD11330031000,VIP플러스적금,"영업점,인터넷,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
*만기후 1개월 초과: 0.1%","▶ 최고우대금리 0.50%p  
①이 예금가입시 VIP고객이거나 가입일 이후부터 만기일전일까지 VIP고객에 선정된 경험이 있는 경우 : 0.3%p 
②이 예금 가입일에 정기예금 500만원이상(만기 1년이상) 가입하고 만기일 전일까지 유지한 경우 : 0.2%p",1,실명의 개인,"1. 가입기간 : 1년제
2. 가입금액 : 월10만원 이상 5백만원 이하 (1인1계좌)",5000000,20260820,,202608201410,S,단리,F,자유적립식,12,2.2,2.7
020000,은행,2026-08-31T05:51:56+00:00,202608,0010019,광주은행,TD11330031000,VIP플러스적금,"영업점,인터넷,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
*만기후 1개월 초과: 0.1%","▶ 최고우대금리 0.50%p  
①이 예금가입시 VIP고객이거나 가입일 이후부터 만기일전일까지 VIP고객에 선정된 경험이 있는 경우 : 0.3%p 
②이 예금 가입일에 정기예금 500만원이상(만기 1년이상) 가입하고 만기일 전일까지 유지한 경우 : 0.2%p",1,실명의 개인,"1. 가입기간 : 1년제
2. 가입금액 : 월10만원 이상 5백만원 이하 (1인1계좌)",5000000,20260820,,202608201410,S,단리,S,정액적립식,12,2.4,2.9
020000,은행,2026-08-31T05:51:56+00:00,202608,0010019,광주은행,TD11330030000,여행스케치_남도투어적금,"영업점,스마트폰","만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
만기후 1개월 초과: 0.1%","▶ 최고우대금리 1.9%p 
①예금가입일~만기일전일까지 당행이선정한 전라남도 관광지 방문 인증시 : 최고 1.5%p
②신용(체크)카드사용실적300만원이상:최고 0.3%p
③개인(신용)정보 동의: 0.1%p",1,만14세이상 개인 및 개인사업자,"1. 가입기간 :12개월제,18개월제
2. 가입금액 : 월 5만원 이상 1백만원 이하 (1인1계좌)
※ 18개월 정액식 기본금리 3.3%, 최고금리 5.2%",1000000,20260820,,202608201410,S,단리,F,자유적립식,12,2,3.9
